# Constructed from biom file
#OTU ID	11-N0023	15-N0025	19-N0027	23-N0028	27-N0029	28-N0030	3-N0021	31-N0031	35-N0033	36-N0034	39-N0035	40-N0036	43-N0037	44-N0038	47-N0039	48-N0040	7-N0022	Croco-N0020
a6cdde8ff63bd732706cf5c6a441c723	34094.0	36034.0	38543.0	37610.0	28826.0	31298.0	34714.0	22452.0	25053.0	33384.0	31996.0	36576.0	32529.0	34502.0	36628.0	28537.0	38295.0	254.0
9f2c609eb88e0695bb5c5438cd883330	10652.0	11928.0	11405.0	11984.0	9453.0	10045.0	10838.0	7174.0	8368.0	10949.0	10583.0	11688.0	10490.0	11483.0	12320.0	9387.0	11823.0	0.0
c0fa845a05abffa054c1835cb687334d	4064.0	6076.0	6166.0	5724.0	5125.0	5655.0	6628.0	4094.0	5103.0	3106.0	5535.0	5294.0	5405.0	7338.0	7053.0	4322.0	6493.0	0.0
71082a266abfac629d9e17a76c7a6aea	2913.0	4837.0	4015.0	4611.0	3950.0	4403.0	3819.0	3109.0	3454.0	2192.0	3994.0	3679.0	4991.0	6333.0	7280.0	2944.0	3906.0	0.0
a2f23f9df60e479456967067cb3ba37f	4119.0	4625.0	3786.0	3901.0	3490.0	4204.0	2689.0	3313.0	3513.0	3113.0	3776.0	3945.0	3117.0	2779.0	3490.0	3737.0	2607.0	0.0
f2afda01755f29731cc62b1bd9fbac03	3471.0	3864.0	3965.0	3800.0	3502.0	3976.0	2589.0	3105.0	3575.0	2740.0	3547.0	3635.0	3260.0	3435.0	4020.0	3658.0	2583.0	128.0
7ae016596d61bfe78e5a3bfa553fde38	3359.0	4023.0	3290.0	3454.0	3236.0	3691.0	2284.0	2834.0	3022.0	2669.0	3303.0	3338.0	2743.0	2501.0	3388.0	3120.0	2177.0	0.0
4c058d9e13f8d1122f835a46f137e724	3473.0	3799.0	2616.0	3091.0	3482.0	3948.0	2663.0	2968.0	2876.0	2841.0	3545.0	3350.0	2351.0	1823.0	2716.0	3306.0	2791.0	0.0
80d28b9d2658f6f639788045e519ddc4	2352.0	2914.0	2423.0	2664.0	2518.0	3185.0	1976.0	2206.0	2589.0	1960.0	2624.0	2700.0	2329.0	2638.0	2821.0	2495.0	2119.0	0.0
6fe469b003316763ca11f65746dea86c	2688.0	2970.0	2299.0	2456.0	2554.0	2991.0	1561.0	2313.0	2346.0	2391.0	2577.0	2626.0	2124.0	1632.0	2238.0	2514.0	1365.0	65.0
